trial_id,window_id,window_start_s,window_end_s,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
2,21,6.0,6.3,1.137940127245422,0.21644190053096085,1.1052012981830615,0.6228477269094327,-2.183238507939858,-0.02154649126637177,-1.5733848396521788,1.7514679068965555,-0.9039989423538035,-0.7194373320736263,0.3262709537357396,0.8139077652361913,-0.10836947006683632,-0.1646907590142233,1.361961283914113,-0.676894315681272,-0.534763644961395,-0.12173567853829223,-0.29042626117329173,0.10887849689933822
2,22,6.3,6.6,0.5843044064780716,-0.3451756143529213,0.8763149951525931,0.9623421091317886,-1.89196379108748,1.4584318963814253,-1.8755149956540658,-0.4754595420191788,0.1423852450808435,0.06360922444478256,0.9436686390653782,0.9552996424539687,-0.698546400008977,-0.8371224701434933,-0.4120059921106738,0.06984163828237774,-0.5968551800011809,-0.5194188174574139,-0.4378505171948074,0.1751337653629693
2,23,6.6,6.9,2.346919472083446,-0.5613478219578497,1.2288956277288228,1.1672838973910415,-1.6679298807633167,3.87920961852937,-0.7917103785689096,1.2535663138997122,0.7621255395826764,0.5875196918282636,-1.9948376392550746,0.1799280111246316,0.8055679225355552,-0.573662062010019,0.8886434677620976,-0.4002804644001726,-0.3475389000649433,0.02703073414083494,-0.16206406513613777,-0.10111240039413907
2,24,6.9,7.2,1.263393601441488,0.5940972196714228,-0.37187286886515375,0.2721112159322331,-1.4086574949372708,0.2992074674159925,-0.8819783798207231,1.8199986748264028,-0.9392053546809569,-1.7971606810880523,1.6101262717648088,0.8022261686842953,-0.5469423322288566,-1.6407169929008145,1.3033019085961788,-1.1829659104865378,1.3196273025278833,0.08101165532924837,0.144186913926451,0.5722297209370828
2,25,7.2,7.5,0.8461335531752024,0.31066520649284896,0.9888203441460719,-0.26282502808106845,-2.4654606904426433,0.8629049213977661,1.4085451627770533,1.8408501488464366,1.0296941251060954,-0.2394008704665895,-0.8750832228896397,-0.16385074269867417,1.022584176328351,0.5449590833284639,-0.5123810958678726,-1.5043208890232767,-0.8125103828080364,0.11380434210521102,-0.47703891538367044,-0.06105965846040566
2,26,7.5,7.8,1.1858558246486124,-0.07463213784577673,-1.9400846221708168,1.8954900408839717,-3.5969605808397844,-0.8025399434382502,1.2410114985071012,2.999331701977103,2.5755807495154786,-2.184483088119032,0.5811042377285836,2.55038553908782,-1.680904292102096,-0.1765238853456492,0.2465730353007431,0.22908346178273256,1.540965735057865,-0.31149127552307687,1.2299527065329123,1.216378798598839
2,27,7.8,8.1,1.0976939988191459,1.0795441249937676,0.040007292941176484,-0.5234838323800867,-1.446129059752174,1.3002855424172597,-1.1358627097466638,-0.9620261999022268,1.2078976568970234,0.4902756595249831,-0.036886533350710904,-1.1989309684713325,-0.24520419269108013,-1.2446182292860264,-0.27346592460273444,0.2569205443742224,-0.08887459769235889,-0.06445859122222565,0.07702043819339403,0.27812814641455175
2,28,8.1,8.4,0.7340094341137876,-0.1956474173394005,1.0147242573307904,1.3480652490408085,-1.3328731945802688,0.9959909057009325,0.9839484904483339,2.406982784033582,2.1076532664418015,2.59136963694687,0.82265946864379,0.5956491668259787,0.905537457268029,0.5205779732232968,0.13701146919725532,0.24503054391394224,-0.03763249264465575,-0.15014224361217368,-0.0002698008722574304,-0.27167124376961443
2,29,8.4,8.7,1.80924280483008,-0.08060703921902028,0.35025877535382016,3.2808577815214357,-1.5984099627320705,3.4148461372391643,1.6048184904261231,0.782904482214556,0.7874443746760689,0.26535793751565034,-1.646330710956912,0.31658856727085,1.3103812465291425,0.11089753261287556,1.2476010635261205,1.5703994385491822,-0.7852472560873659,-0.8611757932349101,1.2933445621229063,-0.32854466984914843
2,30,8.7,9.0,1.8410663801481493,-0.2273711650619496,0.49144583732695285,4.039260524824392,-1.3178168221038111,3.681282177055124,2.5105794123087946,0.6267826591504666,-0.7899805035706942,-1.2612952298558868,-1.8070784105779956,0.7469498881880958,0.10516865451191411,1.5887379182153638,-1.5997509198363458,-0.6364105839492991,0.0086294878818663,0.6817650341346758,-0.10974903362364577,0.7046733975497863
2,31,9.0,9.3,1.4452075700531102,1.0579345031049903,-1.0881105533997002,-0.21222542060584254,-2.3951542582317566,0.09845739212141542,1.3553729108166779,0.3594160757256044,-1.7168107173943024,-2.490229092859027,1.761751191101977,-0.1225297143537966,0.7511910145343197,-1.7476959603180429,0.28171346982741,-0.7289598291514054,1.4990580822088007,0.7037815206564425,0.4848919469080574,0.6228484917422495
2,32,9.3,9.6,0.3801903488798411,0.29081294914448674,-0.2104659315453447,-3.6032565479090497,-5.09043141106811,0.6777294507724698,-1.0547045587601336,0.2795843699172721,-1.003993201102439,-3.0744401518047537,0.16048589659454826,-1.4551567215676477,0.6817016540963168,-0.2008341280940791,-0.5577471797652495,-0.27420540310585123,0.689322924294728,1.0819875950496576,-1.0086414501729475,-1.1209975443975007
2,33,9.6,9.9,0.9142549889438636,-0.104148121663032,-0.23269769759299044,-10.052380353860796,2.9371571756878785,-0.2760743510757623,-0.29985572776287944,0.6863018426163716,-0.8082513472362578,-0.18079827412128796,-1.0100638138625173,1.1098395920131594,0.08270054618222605,0.0852529918228491,0.4727711946745322,-0.13576893229252412,-0.4705209959510307,-0.18338624068106835,-0.09946060751722165,-0.13720976472219437
2,34,9.9,10.2,0.8931857316603387,-0.1930692054617354,-0.5723291187800691,-2.945036846464111,-3.7049588054833213,0.4464773420701492,0.023082585061335585,-0.9749138190935452,1.6873312302718675,-1.2855768257674347,0.1360186315453412,0.6243831486766248,-0.05607320149203972,0.32676387623828557,-0.46849731954449864,0.3247568285228757,-0.3584960683633221,-0.467235939923244,-0.15529053608198662,-0.21846868814745252
2,35,10.2,10.5,1.1111053454400386,0.8258322489164515,0.07826969231875189,-1.4012536782508584,-3.0616408097344667,0.45532537621921476,2.635696027488795,-1.1265737301731993,4.019027531451422,-0.44138569683073947,1.5740378477252226,2.783095166690626,-1.590140701730831,-0.9312473198830111,2.623835910472017,-0.7126039017422218,0.6076000540016817,-0.6204847701515748,0.42084011587226056,0.40075031982296794
